INFO 2023-10-31 08:17:25,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\checks.py first seen with mtime 1698461244.543322
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1698461226.163872
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\html\__init__.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,747 autoreload File C:\Python311\Lib\unittest\suite.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,756 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1698461229.8855033
DEBUG 2023-10-31 08:17:25,756 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1698461229.83861
DEBUG 2023-10-31 08:17:25,756 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1698461229.9171994
DEBUG 2023-10-31 08:17:25,759 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1698461229.869878
DEBUG 2023-10-31 08:17:25,759 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\rest_framework\utils\html.py first seen with mtime 1698461244.9635057
DEBUG 2023-10-31 08:17:25,759 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1698461230.04334
DEBUG 2023-10-31 08:17:25,759 autoreload File C:\Python311\Lib\dis.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,759 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1698461230.090217
DEBUG 2023-10-31 08:17:25,762 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\corsheaders\__init__.py first seen with mtime 1698463564.695753
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1698461229.775627
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1698461223.8534906
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\Lib\unittest\case.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1698461229.7285461
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\Lib\email\_parseaddr.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1698461229.6660326
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1698461225.4100711
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1698461229.775627
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1698461229.83861
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\Lib\fnmatch.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1698461230.0589685
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\Lib\asyncio\runners.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1698461229.681679
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1698461230.027712
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1698461230.0589685
